Category,Item,Pack Size,Price,UPC,Sizes on this card,Possible Sinclair match,Match confidence,Sinclair search
Household & Cleaning,GLAD FORCE FLEX TALL 13 GALLON,40 ct,11.49,1258779027,,,,https://shop.sinclairsfoods.com/shop#!/?q=GLAD%20FORCE%20FLEX%20TALL%2013%20GALLON
Household & Cleaning,GREEN SCOURING PADS,10 ct,6.59,,,,,https://shop.sinclairsfoods.com/shop#!/?q=GREEN%20SCOURING%20PADS
Household & Cleaning,KINGSFORD WOOD PELLETS       CLASSIC/HICKORY/CHERRY,20 LBS,19.49,4460060508,,,,https://shop.sinclairsfoods.com/shop#!/?q=KINGSFORD%20WOOD%20PELLETS%20%20%20%20%20%20%20CLASSIC/HICKORY/CHERRY
Household & Cleaning,RAID “Wasp & Hornet”,14 oz,6.39,4650001353,,Raid Wasp & Hornet Killer 17.5 oz,weak,https://shop.sinclairsfoods.com/shop#!/?q=RAID%20%E2%80%9CWasp%20%26%20Hornet%E2%80%9D
Household & Cleaning,STAINLESS STEEL SCRUBBERS,2 ct,2.99,,,,,https://shop.sinclairsfoods.com/shop#!/?q=STAINLESS%20STEEL%20SCRUBBERS
Household & Cleaning,TIDE ORIGINAL,84 OZ,13.99,3077212108,,,,https://shop.sinclairsfoods.com/shop#!/?q=TIDE%20ORIGINAL
Household & Cleaning,TIDE PODS,76 CT,21.99,3077209165,,,,https://shop.sinclairsfoods.com/shop#!/?q=TIDE%20PODS
Household & Cleaning,XL NITRIL GLOVES,100 ct,5,84231212868,,,,https://shop.sinclairsfoods.com/shop#!/?q=XL%20NITRIL%20GLOVES
Household & Cleaning,ZIPLOC STORAGE GALLON,38 CT,6.89,2570000320,,Ziploc Storage Gallon Bags 22 ea,weak,https://shop.sinclairsfoods.com/shop#!/?q=ZIPLOC%20STORAGE%20GALLON
Dairy,BST-CH MOZZARELLA SLICED,6 oz,2.79,7003858585,,,,https://shop.sinclairsfoods.com/shop#!/?q=BST-CH%20MOZZARELLA%20SLICED
Dairy,COFFEEMATE FR VAN LIQ,16 oz,2.59,5000069225,,,,https://shop.sinclairsfoods.com/shop#!/?q=COFFEEMATE%20FR%20VAN%20LIQ
Dairy,KRFT GRATED PARMESAN,8 oz,4.29,2100002380,,,,https://shop.sinclairsfoods.com/shop#!/?q=KRFT%20GRATED%20PARMESAN
